"b_medium","b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_nolabel","b_calibreL","b_calibreM","mu_lnorm","sigma_lnorm","c_high","c_low_middle","c_high_middle","c_low","b_nosale","b_control","logLike"
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-12310.2359768539
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-12310.2359768539
-0.396374083356932,0.346685812110081,-1.32731872727163,0.272086428594776,-0.738036600523629,-0.667453178903088,0,-0.667648253147491,0,-2.97354704537429,-4.4418266043067e-05,0.00242917449213564,0,0.00672817986924201,0.00586119131185115,0,-5.1644747145474e-05,-11029.2287337722
-2.60115916877578,-2.05115545469561,-2.29231602953215,-0.309939123464598,-2.73770532551428,-2.05910931266696,0,0.0147312022412581,0,-2.89143656289827,-0.00024431984814097,0.00594050528051032,0,0.0241806864371487,0.028839095049886,0,-0.000334303068319155,-10745.4800366782
-2.90018333139972,-2.67628053087856,-2.67662111683959,-1.07770707318785,-3.12728323802153,-2.11887287918523,0,-0.143717411174968,0,-2.86663784152344,-0.000315771103192213,0.00631824442724911,0,0.0288616112503834,0.0366088609735557,0,-0.000442099561589271,-10463.8352063504
-3.73567295467505,-3.89287404059588,-4.38577644937347,-1.65877090129356,-3.22774100312308,-0.755549620294049,0,0.262548984593954,0,-2.82224451950218,-0.000542141521640052,0.000357769811801439,0,0.0313319299410735,0.0585208924116142,0,-0.000779304389315716,-10401.6787767575
-4.26580201989051,-3.74189992951074,-5.15040740973574,-2.34536264985766,-2.79797710449586,-0.739627163256629,0,0.999352345148434,0,-2.7970786579169,-0.000742695854706559,-0.00776488613797099,0,0.0284378881366145,0.0767849493507816,0,-0.00110310632318579,-10371.1616668638
-4.37867770033934,-3.74751541436512,-5.17977363758409,-2.37802359192226,-2.68910418240612,-0.748872117435823,0,0.973690192658009,0,-2.79416789728166,-0.00078192804106734,-0.00978098361371244,0,0.0271207166529153,0.0802316159156414,0,-0.00118040666107105,-10360.5752257743
-4.30814687149394,-3.88100379438443,-5.28085408869156,-2.35717828962218,-2.4696447884989,-0.87889268465082,0,0.958969994364718,0,-2.78564400384293,-0.000956584355352056,-0.020047906923792,0,0.0192112829968294,0.095751730616675,0,-0.00157034749188079,-10349.004072773
-3.81934736260723,-3.26744784198896,-4.84814142158167,-2.28796129663625,-1.93204836942139,-0.920482492102299,0,0.534610752525175,0,-2.44488179748874,-0.00822166537776535,-0.455704803448468,0,-0.323386404452411,0.752351413412849,0,-0.0180260347529646,-9925.1325193909
-3.6230075466452,-3.04333700345838,-4.69528122965126,-2.24674484162946,-1.67426393343318,-0.872989326406399,0,0.369942254055976,0,-0.581260077603693,-0.0321247117394206,-0.747401868053937,0,-0.561541931940019,2.54171125250099,0,-0.0306463672458457,-9786.35650682094
-3.06853712211937,-2.37465546904726,-4.30045768162548,-2.16698149758399,-0.898266680091863,-0.728676174846476,0,-0.154658269850858,0,-0.948435654432529,-1.07136656360634,-1.99361337923244,0,-1.60019055270237,1.83213533516299,0,-0.0742514173199132,-9626.2527693988
-3.02198660959351,-2.33243213641886,-4.26475118256598,-2.15942630451536,-0.870836376523141,-0.711172803382142,0,-0.189932535360996,0,-0.508632018882265,-2.00397602117466,-2.11955212823638,0,-1.64798633989585,1.45827439353056,0,-0.0783195801327437,-9607.91352696875
-2.95417691683878,-2.32453281680995,-4.20894823988535,-2.14273297928257,-0.968462849724419,-0.667540364641257,0,-0.207954529280649,0,0.583655921651834,-1.47586143557216,-2.35030512124197,0,-1.62299290595106,0.31613663751279,0,-0.0862326720887209,-9586.10464645528
-2.8491753066488,-2.29724281920167,-4.12271108473801,-2.08001537372419,-0.983220155241756,-0.601890056123698,0,-0.213072566908446,0,1.4922197899184,-1.04116968530784,-2.7801829495865,0,-0.42950768804462,-0.47798765134967,0,-0.100541269348831,-9585.58895308178
-2.7471388563198,-2.29726692529008,-4.0422573147269,-2.02175046488276,-1.0643068962932,-0.527524448322081,0,-0.205805004493605,0,1.4682605064669,-0.95672201462157,-3.1977121429384,0,-0.688007185659169,-0.187839215346036,0,-0.117682481560817,-9557.99906369962
-2.6904245102571,-2.26999592541886,-3.96958464498251,-1.9637276120489,-1.08760822264607,-0.461094582145816,0,-0.173236961579244,0,1.39240592519811,-0.732955787827555,-3.50123225916933,0,-0.608010436522348,0.18219426952729,0,-0.13832498081982,-9536.43288379383
-2.59988595358736,-2.2056665121417,-3.86167291816136,-1.86487289556541,-1.00237847810673,-0.396810485307282,0,-0.145364395983069,0,1.60265391705879,-0.588018062304974,-3.99129746043862,0,-0.865516412191591,0.37471788592218,0,-0.165521308306063,-9521.23603994129
