"","b_medium","b_low","b_indep","b_high","b_other","b_labelbio","b_labelpleinair","b_calibreL","b_valqvol","b_price1","b_price2","b_control","b_asc","b_rev","b_age","b_age2"
"b_medium",-157.021154712543,11.18822963966,201.017595645945,2.01268362369623,243.676736805811,-215.536465473477,-298.414889301963,-80.2702977715001,201.468805451919,-16.468923979538,-7.9930022672763e-15,-412.733843703703,-2.45501997666462e-11,-9.0566063550318e-15,-5.00397244597645e-13,-9.18068083491875e-15
"b_low",11.18822963966,-138.207514692979,97.6321731609387,14.3508133153219,164.956692038906,78.5352416984982,893.319519165915,628.711806507124,-741.736780777623,8.87843171448198,-8.16539011593066e-15,-412.243627406256,-2.50796824291413e-11,-9.25193332147659e-15,-5.11189485308237e-13,-9.37868375865035e-15
"b_indep",201.017595645945,97.6321731609387,-10405.6582208736,159.745980854937,1345.75417577034,-102.355041323426,-81.0289302631051,-5989.5745954042,409.465657750643,-116.903734443433,6.09322428879324e-14,-1140.64942070079,1.87151046015941e-10,6.90403079734437e-14,3.81462752401616e-12,6.99861523623059e-14
"b_high",2.01268362369623,14.3508133153219,159.745980854937,-104.033810142339,179.926500711231,-79.1299984599516,-722.201600456613,-310.696989761308,315.573407062032,-10.1295631266187,-5.55198761586491e-15,-594.860304206736,-1.70527169283383e-11,-6.2907734345025e-15,-3.47578946198116e-13,-6.37695631707186e-15
"b_other",243.676736805811,164.956692038906,1345.75417577034,179.926500711231,-2117.92918636956,340.04209467558,-5406.7313234549,-2133.6282534119,-3871.78745994414,-24.1486923165259,1.9173004213208e-15,4938.64683401238,5.88891467587938e-12,2.17242965779318e-15,1.20031474508985e-13,2.20219169771356e-15
"b_labelbio",-215.536465473477,78.5352416984982,-102.355041323426,-79.1299984599516,340.04209467558,-9859.0975395519,25449.6554353635,-75.4201933279308,2906.48563308856,-264.919181875375,-2.38195964388354e-14,-1153.56710736359,-7.31609764866953e-11,-2.69891964581864e-14,-1.49121194100233e-12,-2.73589453886184e-14
"b_labelpleinair",-298.414889301963,893.319519165915,-81.0289302631051,-722.201600456613,-5406.7313234549,25449.6554353635,-761765.672089598,-7022.8004157593,-9587.4764826321,-1941.77233833695,-8.13854770041613e-13,22986.6244035791,-2.49972369798514e-09,-9.22151906875849e-13,-5.09509031542222e-11,-9.34785283411951e-13
"b_calibreL",-80.2702977715001,628.711806507124,-5989.5745954042,-310.696989761308,-2133.6282534119,-75.4201933279308,-7022.8004157593,-175229.605270789,13059.5383369385,-851.129687154849,-1.15627713341513e-13,16200.4561793087,-3.55146084809252e-10,-1.31013935496278e-13,-7.23880554771015e-12,-1.32808811553314e-13
"b_valqvol",201.468805451919,-741.736780777623,409.465657750643,315.573407062032,-3871.78745994414,2906.48563308856,-9587.4764826321,13059.5383369385,-97495.9836281051,-38.8016804829821,-3.86785445527149e-14,10125.1822502017,-1.18799665469862e-10,-4.38253788358883e-14,-2.42144772039719e-12,-4.44257815553783e-14
"b_price1",-16.468923979538,8.87843171448198,-116.903734443433,-10.1295631266187,-24.1486923165259,-264.919181875375,-1941.77233833695,-851.129687154849,-38.8016804829821,-36.2814002246197,-7.10266970854179e-15,19.4060449895356,-2.1815577475199e-11,-8.04779999668276e-15,-4.44658494092056e-13,-8.15805394387655e-15
"b_price2",-7.9930022672763e-15,-8.16539011593066e-15,6.09322428879324e-14,-5.55198761586491e-15,1.9173004213208e-15,-2.38195964388354e-14,-8.13854770041613e-13,-1.15627713341513e-13,-3.86785445527149e-14,-7.10266970854179e-15,0,-6.83556785032259e-14,0,0,0,0
"b_control",-412.733843703703,-412.243627406256,-1140.64942070079,-594.860304206736,4938.64683401238,-1153.56710736359,22986.6244035791,16200.4561793087,10125.1822502017,19.4060449895356,-6.83556785032259e-14,-98403.6728682731,-2.09951843665707e-10,-7.74515572038967e-14,-4.27936738059658e-12,-7.85126347532338e-14
"b_asc",-2.45501997666462e-11,-2.50796824291413e-11,1.87151046015941e-10,-1.70527169283383e-11,5.88891467587938e-12,-7.31609764866953e-11,-2.49972369798514e-09,-3.55146084809252e-10,-1.18799665469862e-10,-2.1815577475199e-11,0,-2.09951843665707e-10,0,0,0,0
"b_rev",-9.0566063550318e-15,-9.25193332147659e-15,6.90403079734437e-14,-6.2907734345025e-15,2.17242965779318e-15,-2.69891964581864e-14,-9.22151906875849e-13,-1.31013935496278e-13,-4.38253788358883e-14,-8.04779999668276e-15,0,-7.74515572038967e-14,0,0,0,0
"b_age",-5.00397244597645e-13,-5.11189485308237e-13,3.81462752401616e-12,-3.47578946198116e-13,1.20031474508985e-13,-1.49121194100233e-12,-5.09509031542222e-11,-7.23880554771015e-12,-2.42144772039719e-12,-4.44658494092056e-13,0,-4.27936738059658e-12,0,0,0,0
"b_age2",-9.18068083491875e-15,-9.37868375865035e-15,6.99861523623059e-14,-6.37695631707186e-15,2.20219169771356e-15,-2.73589453886184e-14,-9.34785283411951e-13,-1.32808811553314e-13,-4.44257815553783e-14,-8.15805394387655e-15,0,-7.85126347532338e-14,0,0,0,0
